"Название";"URL";"Количество участников"
"WS 2011 Day 1 Станислав Пак";"https://contest.yandex.ru/contest/241/enter/";"187"
"WS2013 Day 1 - Миланин Александр";"https://contest.yandex.ru/contest/264/enter/";"46"
"WS 2013 Day 3 Шмелев Алексей";"https://contest.yandex.ru/contest/265/enter/";"16"
"WS 2013 Day 2 Бондаренко Наталья";"https://contest.yandex.ru/contest/266/enter/";"33"
"WS 2013 Day 5 Геральд Агапов, Иван Фефер";"https://contest.yandex.ru/contest/267/enter/";"25"
"WS 2013 Day 6 Геральд Агапов, Иван Фефер";"https://contest.yandex.ru/contest/273/enter/";"28"
"WS 2013 Day 7 Куликов Егор";"https://contest.yandex.ru/contest/274/enter/";"30"
"WS 2013 Day 4 Неспирный Виталий";"https://contest.yandex.ru/contest/275/enter/";"21"
"SouthEastern USA 2012";"https://contest.yandex.ru/contest/276/enter/";"49"
"WS 2013 Day 8 Виталий Гольдштейн";"https://contest.yandex.ru/contest/279/enter/";"32"
"WS 2013 Day 9 Копелиович Сергей";"https://contest.yandex.ru/contest/281/enter/";"63"
"SE USA 2009";"https://contest.yandex.ru/contest/289/enter/";"57"
"Yandex.Algorithm 2013 Test Round";"https://contest.yandex.ru/contest/306/enter/";"2173"
"Yandex.Algorithm 2013 qualification round";"https://contest.yandex.ru/contest/307/enter/";"3296"
"Yandex.Algorithm 2013 Round 1";"https://contest.yandex.ru/contest/308/enter/";"1972"
"Yandex.Algorithm 2013 Round 2";"https://contest.yandex.ru/contest/309/enter/";"1961"
"Yandex.Algorithm 2013 Round 3";"https://contest.yandex.ru/contest/310/enter/";"1962"
"Yandex.Algorithm Test Round 2: Read the Problem Statement";"https://contest.yandex.ru/contest/319/enter/";"135"
"SNSS-2013 test round";"https://contest.yandex.ru/contest/327/enter/";"58"
"SNSS-2013 Round 1";"https://contest.yandex.ru/contest/328/enter/";"134"
"SNSS-2013 Round 2";"https://contest.yandex.ru/contest/329/enter/";"129"
"SNSS-2013 Round 3";"https://contest.yandex.ru/contest/330/enter/";"107"
"SNSS-2013 Round 4";"https://contest.yandex.ru/contest/331/enter/";"129"
"SNSS-2013 Round 5";"https://contest.yandex.ru/contest/332/enter/";"99"
"Grand Prix of Southern Europe";"https://contest.yandex.ru/contest/359/enter/";"5986"
"Santa's training round";"https://contest.yandex.ru/contest/371/enter/";"124"
"Santa's complex training round";"https://contest.yandex.ru/contest/398/enter/";"202"
"Santa's Challenge";"https://contest.yandex.ru/contest/401/enter/";"100"
"SNWS 2014, Round 1";"https://contest.yandex.ru/contest/422/enter/";"199"
"SNWS 2014, Round 2";"https://contest.yandex.ru/contest/423/enter/";"139"
"SNWS 2014, Round 3";"https://contest.yandex.ru/contest/424/enter/";"128"
"SNWS 2014, Round 4";"https://contest.yandex.ru/contest/425/enter/";"113"
"SNWS 2014, Round 5";"https://contest.yandex.ru/contest/426/enter/";"116"
"2013 Региональный этап , тур 1";"https://contest.yandex.ru/contest/450/enter/";"177"
"Kharkiv WS 2014, Day 1 (Kapun), Probabilities, Division 1";"https://contest.yandex.ru/contest/458/enter/";"14"
"Kharkiv WS 2014, Day 1 (Kapun), Probabilities, Division 2";"https://contest.yandex.ru/contest/459/enter/";"6"
"Kharkiv WS 2014, Day 2 (Nagin), Division 1";"https://contest.yandex.ru/contest/462/enter/";"10"
"Kharkiv WS 2014, Day 2 (Nagin), Division 2";"https://contest.yandex.ru/contest/465/enter/";"7"
"Kharkiv WS 2014, Day 3 (Shmelev), Division 1";"https://contest.yandex.ru/contest/466/enter/";"6"
